Semana,flight: (Todo o mundo)
2016-09-18,67
2016-09-25,67
2016-10-02,69
2016-10-09,67
2016-10-16,67
2016-10-23,67
2016-10-30,62
2016-11-06,59
2016-11-13,64
2016-11-20,62
2016-11-27,70
2016-12-04,68
2016-12-11,75
2016-12-18,84
2016-12-25,80
2017-01-01,88
2017-01-08,79
2017-01-15,73
2017-01-22,68
2017-01-29,67
2017-02-05,72
2017-02-12,70
2017-02-19,71
2017-02-26,73
2017-03-05,73
2017-03-12,78
2017-03-19,70
2017-03-26,74
2017-04-02,75
2017-04-09,81
2017-04-16,70
2017-04-23,76
2017-04-30,77
2017-05-07,73
2017-05-14,76
2017-05-21,78
2017-05-28,77
2017-06-04,74
2017-06-11,78
2017-06-18,83
2017-06-25,82
2017-07-02,81
2017-07-09,81
2017-07-16,85
2017-07-23,82
2017-07-30,83
2017-08-06,80
2017-08-13,81
2017-08-20,78
2017-08-27,77
2017-09-03,81
2017-09-10,77
2017-09-17,74
2017-09-24,70
2017-10-01,71
2017-10-08,72
2017-10-15,75
2017-10-22,75
2017-10-29,73
2017-11-05,73
2017-11-12,74
2017-11-19,68
2017-11-26,72
2017-12-03,70
2017-12-10,79
2017-12-17,81
2017-12-24,92
2017-12-31,94
2018-01-07,86
2018-01-14,81
2018-01-21,72
2018-01-28,71
2018-02-04,77
2018-02-11,76
2018-02-18,76
2018-02-25,87
2018-03-04,79
2018-03-11,79
2018-03-18,86
2018-03-25,82
2018-04-01,82
2018-04-08,78
2018-04-15,87
2018-04-22,77
2018-04-29,78
2018-05-06,77
2018-05-13,81
2018-05-20,84
2018-05-27,83
2018-06-03,81
2018-06-10,81
2018-06-17,83
2018-06-24,89
2018-07-01,85
2018-07-08,86
2018-07-15,90
2018-07-22,93
2018-07-29,88
2018-08-05,89
2018-08-12,92
2018-08-19,86
2018-08-26,81
2018-09-02,80
2018-09-09,83
2018-09-16,81
2018-09-23,79
2018-09-30,78
2018-10-07,84
2018-10-14,80
2018-10-21,77
2018-10-28,82
2018-11-04,72
2018-11-11,82
2018-11-18,78
2018-11-25,81
2018-12-02,74
2018-12-09,79
2018-12-16,90
2018-12-23,90
2018-12-30,89
2019-01-06,89
2019-01-13,85
2019-01-20,83
2019-01-27,85
2019-02-03,80
2019-02-10,84
2019-02-17,86
2019-02-24,87
2019-03-03,85
2019-03-10,96
2019-03-17,84
2019-03-24,82
2019-03-31,78
2019-04-07,81
2019-04-14,86
2019-04-21,83
2019-04-28,82
2019-05-05,83
2019-05-12,79
2019-05-19,83
2019-05-26,84
2019-06-02,86
2019-06-09,88
2019-06-16,93
2019-06-23,91
2019-06-30,92
2019-07-07,92
2019-07-14,90
2019-07-21,90
2019-07-28,88
2019-08-04,95
2019-08-11,90
2019-08-18,87
2019-08-25,86
2019-09-01,86
2019-09-08,85
2019-09-15,87
2019-09-22,84
2019-09-29,81
2019-10-06,79
2019-10-13,82
2019-10-20,83
2019-10-27,77
2019-11-03,81
2019-11-10,81
2019-11-17,80
2019-11-24,85
2019-12-01,86
2019-12-08,79
2019-12-15,89
2019-12-22,92
2019-12-29,91
2020-01-05,100
2020-01-12,94
2020-01-19,84
2020-01-26,79
2020-02-02,80
2020-02-09,85
2020-02-16,87
2020-02-23,83
2020-03-01,78
2020-03-08,94
2020-03-15,85
2020-03-22,51
2020-03-29,36
2020-04-05,34
2020-04-12,34
2020-04-19,33
2020-04-26,34
2020-05-03,36
2020-05-10,37
2020-05-17,40
2020-05-24,44
2020-05-31,42
2020-06-07,42
2020-06-14,41
2020-06-21,43
2020-06-28,42
2020-07-05,42
2020-07-12,44
2020-07-19,42
2020-07-26,44
2020-08-02,48
2020-08-09,44
2020-08-16,59
2020-08-23,51
2020-08-30,47
2020-09-06,48
2020-09-13,43
2020-09-20,43
2020-09-27,43
2020-10-04,42
2020-10-11,40
2020-10-18,39
2020-10-25,39
2020-11-01,37
2020-11-08,41
2020-11-15,43
2020-11-22,44
2020-11-29,46
2020-12-06,46
2020-12-13,48
2020-12-20,56
2020-12-27,52
2021-01-03,51
2021-01-10,50
2021-01-17,45
2021-01-24,44
2021-01-31,45
2021-02-07,43
2021-02-14,47
2021-02-21,46
2021-02-28,46
2021-03-07,46
2021-03-14,46
2021-03-21,48
2021-03-28,48
2021-04-04,48
2021-04-11,44
2021-04-18,47
2021-04-25,45
2021-05-02,45
2021-05-09,45
2021-05-16,46
2021-05-23,49
2021-05-30,50
2021-06-06,52
2021-06-13,54
2021-06-20,57
2021-06-27,58
2021-07-04,61
2021-07-11,66
2021-07-18,68
2021-07-25,62
2021-08-01,69
2021-08-08,63
2021-08-15,63
2021-08-22,60
2021-08-29,59
2021-09-05,60
