Ano,Unidade Geografica,Localizacao,Dep. Adm.,Ed. Inf. Total,Creche,Pré-Escola,En. Fund. Total,Anos Iniciais,Anos Finais,1o Ano,1o Ano,3o Ano,4o Ano,5o Ano,6o Ano,7o Ano,8o Ano,9o Ano,En. Medio Total,1a Serie,2a Serie,3a Serie
2020,Brasil,Total,Total,15.8,13.7,17.7,23.0,21.4,26.6,19.9,20.8,21.7,22.2,22.6,26.6,26.8,26.5,26.3,30.3,31.8,30.1,28.9
2020,Brasil,Urbana,Total,15.9,13.7,18.2,24.3,22.1,27.7,20.5,21.4,22.4,22.9,23.5,27.6,27.9,27.8,27.7,30.9,32.3,30.7,29.6
2020,Brasil,Rural,Total,14.7,14.3,14.8,17.0,16.7,19.6,15.1,16.1,17.0,17.7,17.5,20.7,20.3,19.2,18.0,21.9,24.3,21.8,20.1
2020,Brasil,Total,Federal,14.4,12.3,16.3,25.8,23.5,26.8,19.4,23.3,24.0,24.8,25.6,25.7,26.6,27.4,27.6,30.8,35.0,31.0,28.3
2020,Brasil,Urbana,Federal,14.5,12.5,16.2,25.9,23.6,26.9,19.4,23.5,24.1,24.9,25.8,25.7,26.6,27.5,27.7,30.7,34.8,31.2,28.3
2020,Brasil,Rural,Federal,13.0,10.6,17.8,15.4,15.3,15.5,,12.0,15.0,16.0,18.0,21.0,15.0,13.0,13.0,31.2,35.7,30.1,28.3
2020,Brasil,Total,Estadual,17.4,11.7,17.9,26.8,23.6,28.8,22.4,23.3,23.9,23.8,24.1,28.3,28.9,29.0,29.0,30.8,32.4,30.6,29.3
2020,Brasil,Urbana,Estadual,20.0,12.2,20.6,27.9,24.4,29.6,23.3,24.1,24.8,24.6,25.0,29.0,29.7,29.8,29.8,31.6,33.1,31.4,30.2
2020,Brasil,Rural,Estadual,10.3,10.6,10.3,16.0,13.8,18.6,12.5,13.6,13.8,14.2,14.6,18.7,19.1,18.6,18.0,21.3,23.6,21.3,19.6
2020,Brasil,Total,Municipal,17.8,15.7,19.4,22.9,22.6,26.0,20.9,21.9,22.9,23.5,23.9,26.7,26.5,25.7,24.9,27.4,29.1,27.0,26.3
2020,Brasil,Urbana,Municipal,18.3,15.8,20.4,25.1,23.9,28.2,22.1,23.0,24.2,24.8,25.4,28.5,28.6,28.0,27.5,28.8,30.4,28.4,28.1
2020,Brasil,Rural,Municipal,14.8,14.4,14.9,17.1,17.0,19.9,15.3,16.3,17.2,18.0,17.8,21.2,20.5,19.4,18.0,18.8,21.2,18.3,16.0
2020,Brasil,Total,Privada,12.1,11.0,13.6,19.2,17.3,23.1,16.2,16.9,17.3,17.8,18.3,23.1,23.1,23.2,23.2,26.9,27.2,26.9,26.6
2020,Brasil,Urbana,Privada,12.1,11.0,13.6,19.2,17.3,23.1,16.3,16.9,17.4,17.8,18.3,23.1,23.1,23.2,23.2,26.9,27.2,26.9,26.7
2020,Brasil,Rural,Privada,14.2,13.7,14.7,17.5,15.9,21.1,14.6,15.3,16.3,16.8,16.9,20.3,21.6,21.2,21.3,23.5,25.9,23.5,21.7
2020,Brasil,Total,Pública,17.8,15.7,19.4,24.0,22.8,27.3,21.1,22.1,23.0,23.6,23.9,27.4,27.6,27.3,26.9,30.8,32.5,30.6,29.3
2020,Brasil,Urbana,Pública,18.3,15.8,20.4,26.0,24.0,28.9,22.3,23.2,24.3,24.8,25.3,28.8,29.1,29.0,28.8,31.6,33.1,31.4,30.1
2020,Brasil,Rural,Pública,14.7,14.3,14.8,17.0,16.7,19.6,15.1,16.1,17.0,17.7,17.5,20.7,20.3,19.2,18.0,21.9,24.3,21.8,20.1
2020,Norte,Total,Total,17.9,16.6,18.5,22.6,22.3,26.0,20.6,21.5,22.6,23.1,23.7,26.5,26.4,25.7,25.3,29.1,30.7,28.9,27.7
2020,Norte,Urbana,Total,19.0,16.9,20.0,26.0,23.7,29.7,21.8,22.6,24.2,24.6,25.5,29.6,29.9,29.5,29.6,32.2,33.5,31.9,30.9
2020,Norte,Rural,Total,14.4,14.1,14.5,16.8,17.5,18.0,15.7,16.9,17.7,18.3,18.4,19.7,18.6,17.3,16.1,17.7,19.5,17.5,16.1
2020,Norte,Total,Federal,18.3,,18.3,23.2,24.6,22.8,21.0,22.4,22.2,27.0,27.7,22.0,21.2,23.4,24.6,30.2,33.6,30.2,26.7
2020,Norte,Urbana,Federal,18.3,,18.3,23.2,24.6,22.8,21.0,22.4,22.2,27.0,27.7,22.0,21.2,23.4,24.6,30.2,34.0,30.0,26.5
